a(a10,glob) d(membrane)
155.578032 2.180008
164.260466 3.829987
147.250100 2.260010
164.993229 2.169983
167.837929 3.180008
160.182527 2.110001
168.287887 6.490005
169.397333 4.580002
151.399037 2.500000
161.461950 4.400009
149.549071 -0.740021
156.991097 0.500015
155.937378 0.570007
165.130056 2.070007
158.518359 0.580002
158.168899 1.990005
151.671396 1.120010
166.772457 6.100006
156.949719 1.340012
167.217209 3.650009
166.106497 4.460007
154.192629 2.529999
141.950506 0.899994
148.775808 1.530014
146.376917 1.130005
154.542788 3.679993
146.153746 2.090012
147.988543 1.110001
155.776232 3.480011
152.483154 3.529999
146.055044 0.780014
155.388028 2.579987
151.519276 -1.809998
162.661247 4.420013
166.217670 4.040009
163.168634 2.090012
159.637112 5.220016
162.394221 2.350006
167.758657 7.050018
156.636034 5.110016
157.319842 1.430008
150.361787 1.750015
151.022558 4.300003
160.156826 3.829987
157.549827 3.970016
145.873809 1.010010
149.384607 3.480011
147.604908 -0.050018
142.675208 0.930008
140.580349 -0.500000
149.723289 2.050003
144.948692 0.990005
149.128719 -1.509995
152.967627 0.280014
150.631715 0.780014
142.644466 1.810013
151.885662 0.570007
147.166977 -0.539993
149.023727 2.900009
157.237949 2.760010
150.745933 2.160019
151.243134 1.020004
142.212386 1.139999
149.083576 1.279999
163.837885 6.780014
161.676171 6.230011
153.699488 0.079987
159.279493 3.280014
161.812105 0.580002
163.404952 4.280014
158.963518 3.320007
154.001411 1.340012
153.407508 2.510010
161.442185 2.299988
156.802452 0.880005
156.520049 1.520004
162.282660 1.169998
151.813905 -1.610001
152.642668 0.700012
151.147130 1.739990
149.374275 0.370010
152.613543 1.889984
159.768670 2.660004
146.878420 1.570007
148.973401 4.000015
155.635121 1.559998
153.675951 3.119995
148.735138 4.590012
155.562285 2.289993
153.534661 0.020004
148.012079 2.000000
154.481672 4.150009
155.173627 2.230011
156.749035 4.630005
165.783428 3.280014
150.824922 0.710007
145.997280 1.419998
156.309483 1.960007
162.319854 1.360016
144.407198 1.309998
149.023813 3.040009
148.590372 1.179993
143.991856 4.040009
134.737642 0.020004
146.593648 5.500015
150.509430 6.889984
162.151039 3.959991
154.838938 1.650009
